tipo;subtipo;codigo_prestacion;nombre_prestacion;importe;cantidad;iva
SERVICIOS;RX URGENTES;	85121808_20;RESONANCIA MAGNETICA CONSTRASTADA;6728;500;16.00%
SERVICIOS;RX URGENTES;	85121808_19;RESONANCIA MAGNETICA SIMPLE ;6380;500;16.00%
SERVICIOS;RX URGENTES;	85121808_18;TOMOGRAFIA CONSTRASTADA;5568;500;16.00%
SERVICIOS;RX URGENTES;	85121808_17;TOMOGRAFIAS SIMPLE;5220;500;16.00%
SERVICIOS;RX EN QUIROFANO;	85121808_21;USO DE ARCO EN C;8120;500;16.00%
SERVICIOS;RX EN QUIROFANO;	85121808_22;USO DE RAYOS X PORTATIL;812;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_03;ELECTROCARDIOGRAMA DE VERIFICACION POR FALLECIMIENTO;812;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_01;ELECTROCARDIOGRAMA EN REPOSO;522;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_02;REGISTRO DE TOCOCARDIOGRAFO;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_24;APLICACION DE EMODERIVADOS HOSPITALARIA;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_21;APLICACION DE ENEMA HOSPITALARIA;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_07;APLICACION DE INYECCION INTRAMUSCULAR AMBULATORIA;58;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_08;APLICACION DE INYECCION INTRAMUSCULAR HOSPITALARIA;40.6;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_09;APLICACION DE INYECCION INTRAVENOSA AMBULATORIA;58;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_10;APLICACION DE INYECCION INTRAVENOSA HOSPITALARIA;40.6;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_13;APLICACION DE MEDICAMENTO ORAL AMBULATORIO;23.2;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_14;APLICACION DE MEDICAMENTO ORAL HOSPITALARIO;23.2;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_11;APLICACION DE MEDICAMENTO TOPICO AMBULATORIO;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_12;APLICACION DE MEDICAMENTO TOPICO HOSPITALARIO;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_25;APLICACION DE MEDICAMENTOS CON BOMBA DE INFUSION;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_26;APLICACION DE OXIGENO;116;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_15;APLICACION DE SONDA URETRAL AMBULATORIA;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_16;APLICACION DE SONDA URETRAL HOSPITALARIA;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_27;APLICACION DE YESO 1 VENDA DE 15 CM ;174;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_35;ARMADO DE CHAROLAS DE INSTRUMENTAL;232;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_36;ARMADO DE COMPRESAS;232;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_37;ARMADO DE GASAS;232;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_38;ARMADO DE MATERIAL DIVERSO;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_34;ARMADO DE VULTOS DE CIRUJIA GENERAL;348;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_28;BANO DE ESPONJA;232;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_29;BANO DEL BEBE;232;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_31;CIRCULANTE;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_39;COLOCACION DE ARETES;232.01;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_01;CURACION AMBULATORIA;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_02;CURACION DE HERIDAS (FRICCION O QUEMADURA);0;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_03;CURACION HOSPITALARIA;0;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_33;ESTERILIZACION A GAS OXIDO DE HETILENO POR AMPULA ;11600;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_32;ESTERILIZACION A VAPOR 1 KG ;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_30;INTRUMENTISTA;580;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_23;PREPARACION HOSPITALARIA;348;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_22;PREPARACION QUIRURJICA;348;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_06;RETIRO DE PUNTOS;348;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_04;RETIRO DE SONDA ;696;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_05;SUTURA DE MAX 4 PUNTOS ;928;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_20;TOMAS DE DEXTROCTIS CAPILAR (TOMA DE AZUCAR EN EL DEDO);75.4;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_19;TOMAS DE DEXTROCTIS CAPILAR (TOMA DE AZUCAR EN EL DEDO) AMBULATORIOS;75.4;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_17;TOMAS DE SIGNOS VITALES AMBULATORIOS;75.4;500;16.00%
SERVICIOS;ENFERMERIA;	85101601_18;TOMAS DE SIGNOS VITALES HOSPITALARIOS;75.4;500;16.00%
SERVICIOS;NUTRICION;	85101601_41;DISENO DE DIETA DE EGRESO;348;500;16.00%
SERVICIOS;NUTRICION;	85101601_40;SUMINISTRO DE DIETAS Y VIGILANCIA ;406;500;16.00%
SERVICIOS;LIMPIEZA;	72101508_01;ASEO DE HABITACION DIARIO;348;500;16.00%
SERVICIOS;LIMPIEZA;	72101508_02;ASEO DE HABITACION EXHAUSTIVO;696.01;500;16.00%
SERVICIOS;LIMPIEZA;	72101508_04;ASEO DE QUIROFANO EXHAUSTIVO;1160;500;16.00%
SERVICIOS;LIMPIEZA;	72101508_03;ASEO DE QUIROFANO REGULAR;696.01;500;16.00%
SERVICIOS;HOSPITALIZACION;	85101501_04; HORA HABITACION CORTA ESTANCIA ;174;500;16.00%
SERVICIOS;HOSPITALIZACION;	85101501_03; HORA HABITACION PRIVADA ;348.01;500;16.00%
SERVICIOS;HOSPITALIZACION;	85101501_01;DIA DE HOSPITALIZACION  HABITACION PRIVADA 24 HRS;2320;500;16.00%
SERVICIOS;HOSPITALIZACION;	85101501_02;DIA DE HOSPITALIZACION CORTA ESTANCIA 24 HRS;1740;500;16.00%
SERVICIOS;URGENCIA;	85101501_05;USO DE ESTACION DE OBSERVACION;0;500;16.00%
SERVICIOS;URGENCIA;	85101501_06;USO DE SALA DE CHOQUE;0;500;16.00%
SERVICIOS;QUIROFANO;	85121600-01;ANESTESIOLOGO;3480;500;16.00%
SERVICIOS;QUIROFANO;	85121600-02;ANGEOLOGO;6960;500;16.00%
SERVICIOS;QUIROFANO;	85121600-03;ONCOLOGO;3480;500;16.00%
SERVICIOS;QUIROFANO;	85121600-05;USO DE QUIROFANO AMBULATORIO ;4060;500;16.00%
SERVICIOS;QUIROFANO;	85121600-04;USO DE QUIROFANO HASTA 2HRS;6496;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_02;BOMBA DE INFUSION PO HORA ;174;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_10;BULTO DE CIRUGIA DESECHABLE;1740;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_09;BULTO DE CIRUGIA ESTERIL REUTILIZABLE;1740;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_08;EQUIPO DE ANESTESIA (USO);2320;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_01;MONITOR DE SIGNOS VITALES;696;500;16.00%
SERVICIOS;EQUIPO MEDICO;42000000_11;TORRE DE LAPARO;3480;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_06;USO CARRO ROJO CON DESFIBRILADOR;11600;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_05;USO DE ASPIRADOR POR HORA ;2320;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_04;USO DE CUNA TERMICA POR HORA ;232;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_07;USO DE CUNERO POR HORA ;232;500;16.00%
SERVICIOS;EQUIPO MEDICO;	42000000_03;USO DE INCUBADORA POR HORA ;232;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-01;DISPENSACION DE OXIGENO HORA POR 1 LITRO X MINUTO ;58;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-10;DISPENSACION DE OXIGENO HORA POR 10 LITRO X MINUTO ;580;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-11;DISPENSACION DE OXIGENO HORA POR 11 LITRO X MINUTO ;638;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-12;DISPENSACION DE OXIGENO HORA POR 12 LITRO X MINUTO ;696;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-13;DISPENSACION DE OXIGENO HORA POR 13 LITRO X MINUTO ;754;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-14;DISPENSACION DE OXIGENO HORA POR 14 LITRO X MINUTO ;812;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-15;DISPENSACION DE OXIGENO HORA POR 15 LITRO X MINUTO ;870;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-02;DISPENSACION DE OXIGENO HORA POR 2 LITRO X MINUTO;116;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-03;DISPENSACION DE OXIGENO HORA POR 3 LITRO X MINUTO ;174;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-04;DISPENSACION DE OXIGENO HORA POR 4 LITRO X MINUTO ;232;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-05;DISPENSACION DE OXIGENO HORA POR 5 LITRO X MINUTO ;290;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-06;DISPENSACION DE OXIGENO HORA POR 6 LITRO X MINUTO;348;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-07;DISPENSACION DE OXIGENO HORA POR 7 LITRO X MINUTO ;406;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-08;DISPENSACION DE OXIGENO HORA POR 8 LITRO X MINUTO ;464;500;16.00%
SERVICIOS;DISPENSACION DE OXIGENO;	42271700-09;DISPENSACION DE OXIGENO HORA POR 9 LITRO X MINUTO;522;500;16.00%
SERVICIOS;GESTION;	30102206_01;CONCENTRADO DE HEMATIES SANGRE/ GESTION;9280;500;16.00%
SERVICIOS;GESTION;	30102206_03;PLAQUETAS/ GESTION;17400;500;16.00%
SERVICIOS;GESTION;	30102206_02;PLASMA/ GESTION;11600;500;16.00%
SERVICIOS;TRANSPORTE;	85101501_01;AMBULANCIA COMISION;580;500;16.00%
SERVICIOS;TRANSPORTE;	85101501_03;TRAYECTO DE AMBULANCIA;0;500;16.00%
SERVICIOS;TRANSPORTE;	85101501_02;UNIDAD DE MOVILIZACION DE SILLA DE RUEDAS;696;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_02;BIOPCIA ;928;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_05;PIEZA PATOLOGIA  APENDICE;1740;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_06;PIEZA PATOLOGIA  PROSTATA;600;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_03;PIEZA PATOLOGIA  RINON;580;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_04;PIEZA PATOLOGIA UTERO;1740;500;16.00%
SERVICIOS;ESTUDIOS;	85121800_01;PIEZA PATOLOGICA PIEL ;1160;500;16.00%
